0.05	239.75
0.06	243.63
0.04	246.02
0.04	18.81
0.04	23.42
0.04	27.85
0.04	32.46
-0.07	54.96
-0.20	80.59
-0.03	204.34
-0.04	205.82
0.04	210.25
0.08	225.92
0.07	243.63
0.03	282.54
-0.08	50.93
-0.06	77.13
-0.04	201.87
-0.04	206.29
0.10	237.66
0.04	268.48
0.06	283.24
0.03	10.51
0.04	14.94
0.04	19.55
0.04	23.98
0.04	28.40
0.04	33.01
-0.08	42.05
-0.04	57.54
-0.06	75.80
-0.12	77.64
0.04	230.72
0.08	248.42
0.10	277.56
0.04	283.28
0.03	24.54
-0.13	37.83
-0.14	67.17
-0.07	93.00
-0.04	206.85
0.06	226.04
0.10	237.48
0.06	238.22
0.08	281.39
0.09	289.14
0.04	20.10
0.04	24.71
0.04	33.57
-0.14	39.65
-0.11	66.21
-0.08	78.57
-0.06	91.29
0.04	227.58
0.04	229.24
0.07	242.34
0.04	248.98
0.10	265.20
-0.03	269.63
-0.04	274.24
0.04	25.09
-0.15	45.76
-0.04	81.00
-0.12	94.11
-0.04	202.97
-0.04	207.59
0.06	226.78
0.16	251.50
0.04	269.03
0.04	16.41
-0.18	56.62
-0.04	58.65
-0.18	102.54
-0.04	203.05
0.07	218.55
0.08	229.98
0.06	251.56
0.04	267.79
0.08	272.95
0.04	25.65
-0.11	52.03
-0.12	89.49
0.05	226.22
0.11	252.06
0.10	262.39
0.04	290.99
-0.12	44.63
0.04	61.78
-0.15	65.10
0.04	84.47
-0.05	111.76
0.09	225.92
0.04	237.17
0.05	247.13
0.09	261.89
-0.04	327.54
0.04	331.97
0.04	30.61
-0.07	46.48
-0.13	51.27
-0.06	83.55
-0.05	87.60
-0.04	100.70
0.05	235.14
-0.03	244.36
0.05	250.45
0.07	252.85
0.11	276.27
0.04	327.73
0.04	21.96
0.04	26.39
0.03	31.00
-0.16	54.62
-0.17	95.58
-0.12	96.50
0.04	217.00
0.05	227.70
0.08	238.77
0.21	269.22
-0.04	323.46
-0.14	40.94
0.03	62.70
-0.16	63.63
-0.08	69.34
0.04	80.78
-0.23	100.88
0.09	218.73
0.10	250.82
0.05	274.98
0.04	328.28
0.04	13.65
0.04	18.08
0.04	22.51
0.04	27.12
-0.14	50.37
-0.04	67.90
0.04	81.19
-0.14	82.67
0.04	85.62
-0.14	111.82
0.07	216.81
0.12	230.65
0.09	267.56
0.04	288.41
-0.04	22.87
-0.17	40.76
-0.08	70.82
0.04	81.33
0.04	85.76
-0.05	85.94
-0.16	99.04
0.06	217.25
0.06	236.99
0.06	237.91
0.04	240.86
0.11	267.60
0.04	329.02
0.04	23.25
-0.17	43.92
-0.16	79.90
-0.07	86.72
0.04	222.72
0.08	236.37
0.06	247.63
0.09	279.18
0.04	329.55
-0.19	43.89
-0.08	79.49
0.04	81.89
-0.09	93.69
0.05	218.36
0.06	222.79
0.05	251.93
0.05	268.34
0.03	10.14
-0.12	47.95
-0.10	78.38
-0.14	113.42
0.04	203.61
0.12	229.06
0.04	261.89
0.06	270.55
0.04	283.65
0.04	28.42
